,index,img,title,price,rating,link,id
290,294,https://rukminim1.flixcart.com/image/800/960/jx0prbk0/panty/k/n/g/l-inner-patti-faisna-original-imafhkd8qghcpjhg.jpeg?q=50,"faisna 
Pack of 5 Women Hipster Multicolor Panty",193,"3.25,263 ratings and 640 reviews",https://www.flipkart.com/faisna-women-hipster-multicolor-panty/p/itmfhahgf4hyf8gt?pid=PANFH85GBTZH2KNG&lid=LSTPANFH85GBTZH2KNGOJDMF6&marketplace=FLIPKART&store=clo&srno=b_8_295&otracker=nmenu_sub_Women_0_Clothing&iid=7889812a-82bd-4b11-a5c4-b74d624e25c9.PANFH85GBTZH2KNG.SEARCH&ssid=ksyac40uxc0000001659226198518,59d8e65f-1e43-48b9-8f7d-2e359f451ef6
291,295,https://rukminim1.flixcart.com/image/800/960/xif0q/ethnic-set/h/r/p/s-maroonhardup-nikora-original-imag9fe2ggzchgzy-bb.jpeg?q=50,"NIKORA 
Women Kurta and Dupatta Set Viscose Rayon",499,"4.26,487 ratings and 568 reviews",https://www.flipkart.com/nikora-women-kurta-dupatta-set/p/itm065844cc2042e?pid=ETHG9FE2MMFGZU4J&lid=LSTETHG9FE2MMFGZU4JBS0KB3&marketplace=FLIPKART&store=clo&srno=b_8_296&otracker=nmenu_sub_Women_0_Clothing&iid=en_t5zucloddrSQ9DU5lq4YmgffCwt3VK9l2M%2B3sCVdATEvpkeG4aa5OwD8N3wRnBgt11ARSmU88MGBtCFWdaSbEQ%3D%3D&ssid=ksyac40uxc0000001659226198518,20686981-ea60-4447-b6ed-398f622a8800
292,296,https://rukminim1.flixcart.com/image/800/960/xif0q/gown/v/f/a/na-l-gown152-hiva-trendz-na-original-imafj5dfb59rvyyx-bb.jpeg?q=50,"New Ethnic 4 You 
Printed Crepe Blend Stitched Anarkali Gown  (Green)",259,"3.87,403 ratings and 837 reviews",https://www.flipkart.com/new-ethnic-4-you-anarkali-gown/p/itm4cec8172a6665?pid=GWNFJ5HQYFNUXPFG&lid=LSTGWNFJ5HQYFNUXPFGAIJPCO&marketplace=FLIPKART&store=clo&srno=b_8_297&otracker=nmenu_sub_Women_0_Clothing&iid=7889812a-82bd-4b11-a5c4-b74d624e25c9.GWNFJ5HQYFNUXPFG.SEARCH&ssid=ksyac40uxc0000001659226198518,7496a26c-d75f-41a7-9f04-49655cfffa13
293,297,https://rukminim1.flixcart.com/image/800/960/km6mxe80/top/n/y/d/xs-st01-silkova-original-imagf5fmh6gdecba.jpeg?q=50,"Silkova 
Casual Regular Sleeves Embroidered Women Green Top",299,"4.19,910 ratings and 1,074 reviews",https://www.flipkart.com/silkova-casual-3-4-sleeve-embroidered-women-green-top/p/itm14500b79cd0ed?pid=TOPGF5FNKNGZEAWV&lid=LSTTOPGF5FNKNGZEAWVBDYXQD&marketplace=FLIPKART&store=clo&srno=b_8_298&otracker=nmenu_sub_Women_0_Clothing&iid=7889812a-82bd-4b11-a5c4-b74d624e25c9.TOPGF5FNKNGZEAWV.SEARCH&ssid=ksyac40uxc0000001659226198518,14322599-28c9-4189-9320-a8555dd57b06
294,298,https://rukminim1.flixcart.com/image/800/960/xif0q/kurta/c/x/6/xl-ku233-sburi-original-imafyty2dy4jzfqz-bb.jpeg?q=50,"Mahageeta 
Women Printed Pure Cotton Flared Kurta  (Black)",399,"41,14,112 ratings and 16,147 reviews",https://www.flipkart.com/mahageeta-women-printed-flared-kurta/p/itmb3007fc1b2607?pid=KTAFZ4RP3BTYUKVW&lid=LSTKTAFZ4RP3BTYUKVWZRKU7B&marketplace=FLIPKART&store=clo&srno=b_8_299&otracker=nmenu_sub_Women_0_Clothing&iid=7889812a-82bd-4b11-a5c4-b74d624e25c9.KTAFZ4RP3BTYUKVW.SEARCH&ssid=ksyac40uxc0000001659226198518,92708637-1fd0-45ab-a850-9ccb96918ecf
295,299,https://rukminim1.flixcart.com/image/800/960/xif0q/ethnic-set/t/g/g/l-slk-111-black-subh-laxmi-original-imafzsfk2fpgfcwh-bb-bb.jpeg?q=50,"SUBH LAXMI 
Women Kurta and Palazzo Set Pure Cotton",494,"4.334,144 ratings and 3,712 reviews",https://www.flipkart.com/subh-laxmi-women-kurta-palazzo-set/p/itm773a4089f9ae7?pid=ETHFVFZZSSBBWQGG&lid=LSTETHFVFZZSSBBWQGG6SMKXE&marketplace=FLIPKART&store=clo&srno=b_8_300&otracker=nmenu_sub_Women_0_Clothing&iid=en_t5zucloddrSQ9DU5lq4YmgffCwt3VK9l2M%2B3sCVdATGL8CxjPwpZ4UnZkuJfEW4nK7zoUeVrdc2NdUqE8S1dkw%3D%3D&ssid=ksyac40uxc0000001659226198518,3b8833ce-9617-4843-a61f-38affd20dfe1
296,300,https://rukminim1.flixcart.com/image/800/960/xif0q/top/z/0/f/l-4125-darzi-original-imag26u2zkwsg27r-bb.jpeg?q=50,"DARZI 
Casual Regular Sleeves Solid Women Pink Top",349,"44,074 ratings and 398 reviews",https://www.flipkart.com/darzi-casual-half-sleeve-solid-women-pink-top/p/itm8443e0badd5d7?pid=TOPG26U4MZS3TP8A&lid=LSTTOPG26U4MZS3TP8AYP3ZPW&marketplace=FLIPKART&store=clo&srno=b_8_301&otracker=nmenu_sub_Women_0_Clothing&iid=7889812a-82bd-4b11-a5c4-b74d624e25c9.TOPG26U4MZS3TP8A.SEARCH&ssid=ksyac40uxc0000001659226198518,50896e8c-b1a1-4ff9-8ec9-3effb34559ba
297,301,https://rukminim1.flixcart.com/image/800/960/xif0q/kurta/u/5/s/s-kurti-503-gujari-original-imag883udw6c7xxq-bb.jpeg?q=50,"Gujari 
Women Floral Print Viscose Rayon Anarkali Kurta  (Pink)",449,"4.25,353 ratings and 691 reviews",https://www.flipkart.com/gujari-women-floral-print-anarkali-kurta/p/itm8ec1231f48722?pid=KTAG883UTEDSSQGX&lid=LSTKTAG883UTEDSSQGXIQXABF&marketplace=FLIPKART&store=clo&srno=b_8_302&otracker=nmenu_sub_Women_0_Clothing&iid=7889812a-82bd-4b11-a5c4-b74d624e25c9.KTAG883UTEDSSQGX.SEARCH&ssid=ksyac40uxc0000001659226198518,1fb78676-0394-4c60-b82d-1882956684a5
298,302,https://rukminim1.flixcart.com/image/800/960/keaaavk0-0/jean/p/g/u/34-kttladiesjeans670-kotty-original-imafuzrrgcfg9sds.jpeg?q=50,"KOTTY 
High Waist Flared Fit Regular Length Clean Look Denim Flared Women Black Jeans",575,"415,704 ratings and 1,802 reviews",https://www.flipkart.com/kotty-high-waist-flared-fit-regular-length-clean-look-denim-women-black-jeans/p/itm1aea4a5213072?pid=JEAG2Q77UD9BYWBB&lid=LSTJEAG2Q77UD9BYWBBCLOFY6&marketplace=FLIPKART&store=clo&srno=b_8_303&otracker=nmenu_sub_Women_0_Clothing&iid=7889812a-82bd-4b11-a5c4-b74d624e25c9.JEAG2Q77UD9BYWBB.SEARCH&ssid=ksyac40uxc0000001659226198518,3c490ab9-8421-46a5-930b-7c5fa9521266
299,303,https://rukminim1.flixcart.com/image/800/960/xif0q/sari/v/r/r/free-l-k-gajari-new-sarees-sari-sare-saree-saris-sadi-sarii-original-imagcgp2qnqkwhse-bb.jpeg?q=50,"KING VULTURE 
Woven, Embroidered, Paisley, Self Design, Floral Print, Dyed, Printed Banarasi Cotton Blend, Silk Blend Saree  (Pink, Multicolor)",732,"4.12,205 ratings and 197 reviews",https://www.flipkart.com/king-vulture-woven-embroidered-paisley-self-design-floral-print-dyed-printed-banarasi-cotton-blend-silk-blend-saree/p/itmf5f8d7c4d1faa?pid=SARGBKZ538RQGSF5&lid=LSTSARGBKZ538RQGSF50QMRLI&marketplace=FLIPKART&store=clo&srno=b_8_304&otracker=nmenu_sub_Women_0_Clothing&iid=en_t5zucloddrSQ9DU5lq4YmgffCwt3VK9l2M%2B3sCVdATGXcvRxgDeXucc%2FSVAzdLEgGrNM8rCsKUeuxnJ7YiVq2w%3D%3D&ssid=ksyac40uxc0000001659226198518,186ab78f-dbb5-4c2d-b177-a814edf963f7
